Data_Run,Bottom_Left,Bottom_Right,Side_Left,Bottom_DSECAL,TOTAL_BOTTOM,Top_Left ,Top_Right ,Side_Right ,Top_DSECAL,TOTAL_TOP,TOP_ERROR,BOTTOM_ERROR,RATIO,RATIO_ERROR,DATATYPE,HORNCURRENT,,,,,,
2.1 ,144308 ,125408 ,115819 ,29580 ,"415,115",62769 ,57726 ,115819 ,23487 ,"259,801",509.7067785,644.2941875,1.5978191,0.003997126,data,FHC,,,,,,
2.2 ,117024 ,102495 ,94811 ,24124 ,"338,454",51371 ,47424 ,77632 ,19225 ,"195,652",442.3256719,581.767995,1.729877538,0.004912891,data,FHC,,,,,,
3 ,522107 ,452633 ,418092 ,106467 ,"1,499,299",227173 ,212333 ,348956 ,106467 ,"894,929",946.006871,"1,224.46",1.675327316,0.002237917,data,FHC,,,,,,
4.1 ,557743 ,485625 ,448630 ,115361 ,"1,607,359",244656 ,225984 ,370066 ,91926 ,"932,632",965.7287404,"1,267.82",1.723465418,0.002243402,data,FHC,,,,"6,612,062",,"2,475,940"
4.2 ,583697 ,509641 ,469604 ,120832 ,"1,683,774",257065 ,237257 ,389286 ,95753 ,"979,361",989.6266973,"1,297.60",1.719257761,0.002184863,data,FHC,,,,"2,500,072",,"1,478,184"
5 ,47466 ,42034 ,44498 ,10481 ,"144,479",28012 ,26364 ,37791 ,8800 ,"100,967",317.7530488,380.1039332,1.430952688,0.005869636,data,RHC,,,,,,
6 ,364346 ,323996 ,339310 ,82757 ,"1,110,409",216098 ,201086 ,290301 ,67511 ,"774,996",880.3385712,"1,053.76",1.432793202,0.002120775,data,RHC,,,,,,
7 ,259271 ,231551 ,245434 ,59807 ,"796,063",152961 ,143043 ,207469 ,48043 ,"551,516",742.6412324,892.2236267,1.443408713,0.002528795,data,RHC,,,,,,
8.1 ,516672 ,450154 ,408865 ,106105 ,"1,481,796",227109 ,209715 ,339360 ,84793 ,"860,977",927.8884631,"1,217.29",1.721063397,0.002332233,data,FHC,,,,,,
8.2 ,1357941 ,1186749 ,1088334 ,278067 ,"3,911,091",595175 ,552028 ,902416 ,223565 ,"2,273,184","1,507.71","1,977.65",1.720534281,0.001434966,data,FHC,,,,,,
9 ,243151 ,217621 ,228645 ,55394 ,"744,811",144115 ,133861 ,193547 ,45650 ,"517,173",719.1474119,863.0243334,1.440158322,0.002606731,data,RHC,,,,,,
2.1 ,4426029 ,3851465 ,3723321 ,1235907 ,"13,236,722",2077619 ,1918467 ,3127090 ,966648 ,"8,089,824","2,844.26","3,638.23",1.636218785,0.0007302,mc,FHC,,,,,,
2.2 ,4409646 ,3837331 ,3706738 ,1233109 ,"13,186,824",2071369 ,1918050 ,3116713 ,964743 ,"8,070,875","2,840.93","3,631.37",1.633877863,0.000730209,mc,FHC,,,,,,
3 ,8084716 ,7037826 ,6796090 ,2259956 ,"24,178,588",3800012 ,3512810 ,5473801 ,1767586 ,"14,554,209","3,815.00","4,917.17",1.661278054,0.000551153,mc,FHC,,,,,,
4.1 ,9503654 ,8275994 ,7994101 ,2655154 ,"28,428,903",4466047 ,4125545 ,6433626 ,2080517 ,"17,105,735","4,135.91","5,331.88",1.661951562,0.000508556,mc,FHC,,,,,,
4.2 ,9488865 ,8261733 ,7969028 ,2652804 ,"28,372,430",4455179 ,4120489 ,6416869 ,2074970 ,"17,067,507","4,131.28","5,326.58",1.662365218,0.000509228,mc,FHC,,,,,,
5 ,1870457 ,1672078 ,1847231 ,600092 ,"5,989,858",1177093 ,1099770 ,1536654 ,481781 ,"4,295,298","2,072.51","2,447.42",1.394515119,0.000881706,mc,RHC,,,,,,
6 ,3007506 ,2685073 ,2959572 ,963737 ,"9,615,888",1888264 ,1766116 ,2464300 ,774184 ,"6,892,864","2,625.43","3,100.95",1.395049721,0.000696229,mc,RHC,,,,,,
7 ,3014969 ,2696216 ,2979083 ,967909 ,"9,658,177",1897926 ,1770562 ,2474854 ,776450 ,"6,919,792","2,630.55","3,107.76",1.395732271,0.000695142,mc,RHC,,,,,,
8.1 ,9463158 ,8242982 ,7959975 ,2655170 ,"28,321,285",4449422 ,4117126 ,6413829 ,2075324 ,"17,055,701","4,129.85","5,321.77",1.660517208,0.000508944,mc,FHC,,,,,,
8.2 ,11719609 ,10203448 ,9862109 ,3287910 ,"35,073,076",5516364 ,5104501 ,7934477 ,2573219 ,"21,128,561","4,596.58","5,922.25",1.659984132,0.000457148,mc,FHC,,,,,,
9 ,2221408 ,1981990 ,2192395 ,711060 ,"7,106,853",1396277 ,1304148 ,1820692 ,571696 ,"5,092,813","2,256.73","2,665.87",1.395467102,0.00081017,mc,RHC,,,,,,
10,"2,514,806","2,313,366","1,459,536","324,354","6,612,062","475,338","431,154","1,350,284","219,164","2,475,940","2,225.00","3,636.50",2.670525942,0.002813892,mc,FHC,,,,,,
10,"836,744","773,570","731,908","157,850","2,500,072","357,586","331,148","686,992","102,458","1,478,184","1,719.41","2,236.10",1.691313125,0.002481675,mc,RHC,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
