Data_Run,Bottom_Left,Bottom_Right,Side_Left,Bottom_DSECAL,TOTAL_BOTTOM,Top_Left ,Top_Right ,Side_Right ,Top_DSECAL,TOTAL_TOP,TOP_ERROR,BOTTOM_ERROR,RATIO,RATIO_ERROR,TOTAL_EVENTS,HORNCURRENT,DATATYPE
2,141502,122261,114426,29580,407769,62156,57133,93205,23487,235981,485.7787562,638.567929,1.727973862,0.00446941,,FHC,data
2.5,114801,99833,93629,24124,332387,50827,46975,75834,19225,192861,439.1594244,576.530138,1.723453679,0.004933301,,FHC,data
3,512145,441006,412990,106467,1472608,225035,210228,340845,85222,861330,928.0786605,1213.51061,1.709690827,0.002319177,,FHC,data
4,547264,473382,443236,115361,1579243,242371,223858,361631,91926,919786,959.054743,1256.679354,1.71696786,0.00225206,,FHC,data
4.5,572784,496691,463906,120832,1654213,254554,234816,379948,95753,965071,982.3802726,1286.16212,1.714084249,0.002195574,,FHC,data
5,46548,40963,43830,10481,141822,27375,25789,36829,8800,98793,314.3135377,376.5926181,1.435547053,0.005948999,,RHC,data
6,357462,315860,334142,82757,1090221,211181,196136,282264,67511,757092,870.1103378,1044.136485,1.440011254,0.002154292,,RHC,data
7,254178,225692,241680,59807,781357,149646,139704,201439,48043,538832,734.0517693,883.9440028,1.450093907,0.002567809,,RHC,data
8,506952,438932,403715,106105,1455704,225016,207738,331483,84793,849030,921.4282392,1206.52559,1.714549545,0.002341329,,FHC,data
8.5,1331930,1157063,1074761,278067,3841821,589775,546701,881234,223565,2241275,1497.088842,1960.056377,1.714122988,0.001440749,,FHC,data
9,238538,212071,225150,55394,731153,141004,130757,187988,45650,505399,710.9142002,855.0748505,1.446684699,0.00264642,,RHC,data
2,4394286,3818309,3699149,1235907,13147651,2066672,1907895,3097946,966648,8039161,2835.341426,3625.968974,1.63545064,0.000732219,,FHC,mc
2.5,4379585,3805580,3683912,1233109,13102186,2060917,1907912,3088293,964743,8021865,2832.28971,3619.694186,1.633309212,0.00073223,,FHC,mc
3,8029731,6980012,6753993,2259956,24023692,3780967,3494428,5422161,1767586,14465142,3803.306719,4901.396944,1.660798905,0.000552717,,FHC,mc
4,9435494,8204840,7942002,2655154,28237490,4442752,4103016,6371435,2080517,16997720,4122.829126,5313.895934,1.661251627,0.000509994,,FHC,mc
4.5,9424014,8193612,7920115,2652804,28190545,4432879,4098656,6356477,2074970,16962982,4118.614087,5309.476905,1.661886159,0.000510675,,FHC,mc
5,1858233,1659069,1831924,600092,5949318,1165697,1088548,1517381,481781,4253407,2062.378966,2439.122383,1.398718251,0.00088815,,RHC,mc
6,2989819,2666011,2937450,963737,9557017,1870470,1748769,2436000,774184,6829423,2613.316475,3091.442544,1.399388645,0.000701177,,RHC,mc
7,2995225,2675027,2954148,967909,9592309,1879491,1752899,2444202,776450,6853042,2617.831545,3097.145298,1.399715484,0.000700097,,RHC,mc
8,9394988,8171779,7908179,2655170,28130116,4426129,4094258,6351747,2075324,16947458,4116.729041,5303.783178,1.659842792,0.000510398,,FHC,mc
8.5,11639737,10119017,9800744,3287910,34847408,5488533,5077703,7858929,2573219,20998384,4582.399372,5903.169318,1.659528086,0.00045846,,FHC,mc
9,2206723,1966327,2174324,711060,7058434,1382719,1290950,1797918,571696,5043283,2245.725495,2656.771349,1.399571271,0.000816033,,RHC,mc
13,252222,219082,224343,69042,764689,117300,108551,180589,54886,461326,679.209835,874.4649793,1.65758921,0.003090142,,FHC,mc
