Data_Run,Bottom_Left,Bottom_Right,Side_Left,Bottom_DSECAL,TOTAL_BOTTOM,Top_Left ,Top_Right ,Side_Right ,Top_DSECAL,TOTAL_TOP,TOP_ERROR,BOTTOM_ERROR,RATIO,RATIO_ERROR,TOTAL_EVENTS,HORNCURRENT,DATATYPE
2,96172,80733,82105,26181,285191,43068,39332,63585,21011,166996,408.6514407,534.0327705,1.707771444,0.005262206,,FHC,data
2.5,78221,65947,67262,21403,232833,35179,32355,51850,17187,136571,369.555138,482.5277194,1.704849492,0.005810792,,FHC,data
3,339285,313783,298076,93994,1045138,155489,144634,257133,76229,633485,795.9177093,1022.319911,1.649822806,0.002626993,,FHC,data
4,378153,336621,319018,101988,1135780,162674,153852,271930,82236,670692,818.9578744,1065.729797,1.693444979,0.002607823,,FHC,data
4.5,395145,353842,334356,106782,1190125,171200,161260,286305,85733,704498,839.3437913,1090.928504,1.689323462,0.002539441,,FHC,data
5,32298,29120,31540,9218,102176,17941,17508,28157,7839,71445,267.2919752,319.6498084,1.430135069,0.006974576,,RHC,data
6,247139,225018,241152,72668,785977,139764,132969,215697,60028,548458,740.5795028,886.5534389,1.433066889,0.002521382,,RHC,data
7,175517,160883,174869,52300,563569,98638,94722,153664,42894,389918,624.4341438,750.7123284,1.445352613,0.003010724,,RHC,data
8,349579,312552,289475,93407,1045013,150702,142940,250111,75604,619357,786.9923761,1022.258774,1.687254685,0.002705666,,FHC,data
8.5,919411,823085,773301,245127,2760924,396357,376043,664474,199730,1636604,1279.298245,1661.602841,1.686983534,0.001664241,,FHC,data
9,165061,150828,162651,48521,527061,92472,88728,143162,40607,364969,604.1266424,725.9896693,1.444125391,0.003109827,,RHC,data
2,3069825,2653316,2632920,927806,9283867,1444200,1333107,2179564,741160,5698031,2387.05488,3046.943879,1.629311424,0.000867083,,FHC,mc
2.5,3061017,2647677,2625020,925035,9258749,1441244,1334875,2174173,739736,5690028,2385.377957,3042.819252,1.627188654,0.000866777,,FHC,mc
3,5611788,4854498,4809305,1695328,16970919,2643230,2445107,3821434,1354287,10264058,3203.756857,4119.577527,1.653431713,0.000653789,,FHC,mc
4,6589091,5701984,5654849,1991567,19937491,3105015,2869343,4485569,1593688,12053615,3471.831649,4465.141767,1.654067348,0.000603495,,FHC,mc
4.5,6582104,5697539,5641434,1989854,19910931,3101867,2866232,4478549,1589858,12036506,3469.366801,4462.166626,1.654211862,0.000603967,,FHC,mc
5,1310309,1170055,1312680,445445,4238489,813072,758294,1079707,365161,3016234,1736.730837,2058.759092,1.405225523,0.001058567,,RHC,mc
6,2112633,1879478,2108305,716259,6816675,1305832,1222340,1734661,587715,4850548,2202.395968,2610.87629,1.405341211,0.000834803,,RHC,mc
7,2113947,1886064,2118100,719245,6837356,1310637,1221417,1740375,590101,4862530,2205.114509,2614.833838,1.406131376,0.000834145,,RHC,mc
8,5676251,6560462,5630409,1988012,19855134,3092074,2861324,4471591,1587351,12012340,3465.882283,4455.910008,1.652894773,0.000604183,,FHC,mc
8.5,8133496,7034855,6985120,2460644,24614115,3838540,3553574,5538922,1967948,14898984,3859.920206,4961.261432,1.652066678,0.000542285,,FHC,mc
9,1558955,1385446,1558650,528186,5031237,964146,900876,1280671,433587,3579280,1891.898517,2243.041908,1.405656165,0.000971983,,RHC,mc
