Data_Run,Bottom_Left,Bottom_Right,Side_Left,Bottom_DSECAL,TOTAL_BOTTOM,Top_Left ,Top_Right ,Side_Right ,Top_DSECAL,TOTAL_TOP,TOP_ERROR,BOTTOM_ERROR,RATIO,RATIO_ERROR,TOTAL_EVENTS,HORNCURRENT,DATATYPE
3,522107,452633,418092,106467,1499299,227173,212333,348956,85222,873684,934.7106504,1224.458656,1.71606553,0.00230972,2372983,FHC,data
4,557743,485625,448630,115361,1607359,244656,225984,370066,91926,932632,965.7287404,1267.816627,1.72346542,0.0022434,2539991,FHC,data
4.5,583697,509641,469604,120832,1683774,257065,237257,389286,95753,979361,989.6266973,1297.603175,1.71925776,0.00218486,2663135,FHC,data
5,47466,42034,44498,10481,144479,28012,26364,37791,8800,100967,317.7530488,380.1039332,1.43095269,0.00586964,245446,RHC,data
6,364346,323996,339310,82757,1110409,216098,201086,290301,67511,774996,880.3385712,1053.75946,1.4327932,0.00212078,1885405,RHC,data
7,259271,231551,245434,59807,796063,152961,143043,207469,48043,551516,742.6412324,892.2236267,1.44340871,0.0025288,1347579,RHC,data
8,516672,450154,408865,106105,1481796,227109,209715,339360,84793,860977,927.8884631,1217.290434,1.7210634,0.00233223,2342773,FHC,data
8.5,1357941,1186749,1088334,278067,3911091,595175,552028,902416,223565,2273184,1507.708195,1977.647845,1.72053428,0.00143497,6184275,FHC,data
9,243151,217621,228645,55394,744811,144115,133861,193547,45650,517173,719.1474119,863.0243334,1.44015832,0.00260673,1261984,RHC,data
3,8084716,7037826,6796090,2259956,24178588.00000000,3800012,3512810,5473801,1767586,14554209.00000000,3814.997903,4917.172765,1.66127805,0.00055115,38732797.00000000,FHC,mc
4,9503654,8275994,7994101,2655154,28428903.00000000,4466047,4125545,6433626,2080517,17105735.00000000,4135.908002,5331.876124,1.66195156,0.00050856,45534638.00000000,FHC,mc
4.5,9488865,8261733,7969028,2652804,28372430.00000000,4455179,4120489,6416869,2074970,17067507.00000000,4131.283941,5326.577701,1.66236522,0.00050923,45439937.00000000,FHC,mc
5,1870457,1672078,1847231,600092,5989858,1177093,1099770,1536654,481781,4295298,2072.510072,2447.41864,1.39451512,0.00088171,10285156.00000000,RHC,mc
6,3007506,2685073,2959572,963737,9615888,1888264,1766116,2464300,774184,6892864,2625.426442,3100.949532,1.39504972,0.00069623,16508752.00000000,RHC,mc
7,3014969,2696216,2979083,967909,9658177,1897926,1770562,2474854,776450,6919792,2630.549752,3107.760769,1.39573227,0.00069514,16577969.00000000,RHC,mc
8,9463158,8242982,7959975,2655170,28321285.00000000,4449422,4117126,6413829,2075324,17055701.00000000,4129.85484,5321.77461,1.66051721,0.00050894,45376986.00000000,FHC,mc
8.5,11719609.00000000,10203448.00000000,9862109,3287910,35073076.00000000,5516364,5104501,7934477,2573219,21128561.00000000,4596.581447,5922.252612,1.65998413,0.00045715,56201637.00000000,FHC,mc
9,2221408,1981990,2192395,711060,7106853,1396277,1304148,1820692,571696,5092813,2256.726169,2665.868151,1.3954671,0.00081017,12199666.00000000,RHC,mc
